id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
84,reactive-learning-io_spring-boot-reactive-webclient,4,3,145,143,14,14,64,63,61,60,6,6,maven,true,open source,1029,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,0,0,0,0
85,rmondejar_spring-boot-junit5-example,6,6,197,120,26,27,82,45,81,43,8,5,maven,true,open source,589,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,1,0,0,0
86,saiGou-14H_FaceSystem,19,15,552,427,59,53,225,177,226,169,42,28,maven,true,open source,2878,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,0,3,0,0
87,sashinpivotal_spring-boot-tdd,5,5,213,213,25,25,89,89,85,85,14,14,maven,true,open source,1240,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
88,schauder_talk-beyond,5,4,104,102,16,16,44,44,39,37,5,5,maven,true,open source,877,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,0,0,0,0
89,SelimHorri_elastic-boot,4,4,236,236,24,24,109,109,91,91,12,12,maven,true,open source,1090,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
90,SelimHorri_embedded-mongo-playing-with-spring-boot,5,5,190,63,23,15,76,18,78,27,13,3,maven,true,open source,569,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,0,0,0
91,SelimHorri_hr-management-system,10,10,409,181,41,41,147,70,171,55,50,15,maven,true,open source,992,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,7,1,0,0,0
92,simplyi_NewSpringAuthorizationServer,5,5,235,235,24,24,86,86,94,94,31,31,maven,true,open source,1093,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
94,sofieneBK_Hands-on-ci-cd-for-springboot-apps,3,3,145,145,17,17,60,60,58,58,10,10,maven,true,open source,619,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
95,souris-dev_samosac-jvm,2,0,2,0,0,0,0,0,1,0,1,0,maven,true,open source,197,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,2,4,0,0
96,strategyengine_fsedistributionservice,18,16,508,464,58,54,220,199,186,170,44,41,maven,true,open source,1885,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,1,0,0,0
97,supaldubey_blog-server,10,10,317,317,12,12,135,135,147,147,23,23,maven,true,open source,7039,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
98,syqu22_spring-boot-shop-sample,13,10,487,69,52,9,200,25,184,21,51,14,maven,true,open source,572,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,9,1,1,1,0
99,SysObligatoriskOpgave22_BackendWebApp,7,6,222,204,26,26,81,78,99,87,16,13,maven,true,open source,1006,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,2,1,0,0
