id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
97,micw_tibber-pulse-reader,5,2,31,23,3,3,18,11,10,9,0,0,maven,true,open source,351,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,1,0,0
98,MikeAScott_spring-todo-list,7,1,252,1,22,0,95,0,110,1,25,0,maven,true,open source,185,99aa8126424923901f3104bdc561b24a241f299f,improvement,11,6,0,1,0,0
99,MikeAScott_spring-todo-list,7,1,252,1,22,0,95,0,110,1,25,0,maven,true,open source,179,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,6,0,1,0,0
100,milpol_gorilla4j,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,85,2a5c21e6d9b0bd29f948b68a170bd9019af58bee,improvement,11,0,1,0,0,0
101,milpol_gorilla4j,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,87,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
102,mmarcosab_rabbitmq-example,6,1,241,1,22,0,103,0,100,1,16,0,maven,true,open source,166,acad57737405db8809f4e90a60aa5ba32a0e4d27,improvement,11,6,0,0,0,0
103,mmarcosab_rabbitmq-example,6,1,241,1,22,0,103,0,100,1,16,0,maven,true,open source,187,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,6,0,0,0,0
104,mohaghighi_Covid19-Web-Application,6,1,203,33,18,2,84,14,85,14,16,3,maven,true,open source,1984,f0ef13ddbac3de2edc900658c0f7bf07c76d30fe,improvement,11,5,0,0,0,0
105,mohaghighi_Covid19-Web-Application,6,1,203,33,18,2,84,14,85,14,16,3,maven,true,open source,1936,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,0,0,0,0
106,Mozenn_spring-boot-hibernate-search,6,3,172,137,20,16,62,50,76,60,14,11,maven,true,open source,759,b5ef4ddb677e1201bbd894515f877d9b6bf98b27,improvement,11,2,0,1,0,0
107,Mozenn_spring-boot-hibernate-search,6,3,172,137,20,16,62,50,76,60,14,11,maven,true,open source,677,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,2,0,1,0,0
108,MrGraversen_minecraft-rcon,5,0,11,0,1,0,8,0,1,0,1,0,maven,true,open source,117,651eee4ff135b81b021108f418d5dc21f094adf2,improvement,11,0,2,1,0,0
109,MrGraversen_minecraft-rcon,5,0,11,0,1,0,8,0,1,0,1,0,maven,true,open source,125,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,2,1,0,0
110,MSmirnov2407_Filmorate,6,6,145,145,20,20,59,59,60,60,6,6,maven,true,open source,991,2573d3b279446bea0f4cd1f7ce520ddc5c337231,no improvement,11,0,0,0,0,0
111,MSmirnov2407_Filmorate,6,6,145,145,20,20,59,59,60,60,6,6,maven,true,open source,857,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
112,NO-ob_LoliSnatcher,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,521,0f8bf2559fbc8d258b9b2d8e001114fe6d0450bd,improvement,11,2,1,0,0,0
113,NO-ob_LoliSnatcher,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,487,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,2,1,0,0,0
114,olein_Java-AWS-RnD,3,3,141,88,19,21,50,23,62,36,10,8,maven,true,open source,417,7140b9328317bb5e22ec5fcfed32d6cb6932674a,improvement,11,3,0,0,0,0
115,olein_Java-AWS-RnD,3,3,141,88,19,21,50,23,62,36,10,8,maven,true,open source,364,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,0,0,0,0
116,OmarAlHaj24_OnDriver,4,4,142,106,16,16,49,40,65,45,12,5,maven,true,open source,1119,6d22afe7ad243ebf53449b694f7db5f6dd34cc69,improvement,11,0,0,4,0,0
117,OmarAlHaj24_OnDriver,4,4,142,106,16,16,49,40,65,45,12,5,maven,true,open source,993,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,0,4,0,0
