id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata,Repo URL
284,oldfr_second_microservice,4,4,139,139,20,20,61,61,56,56,2,2,maven,False,open source,454,1420d66da2c31f694ce71432a26f9ae190aae8e6,no improvement,11.0,0,0,0,0,0,https://github.com/oldfr/second_microservice
310,francoiducat_springboot-minimal-graphql-client,4,0,180,0,16,0,76,0,76,0,12,0,maven,False,open source,124,7be8026e3771e00b4c093e8541b23bfe1b7f6825,improvement,11.0,4,0,0,0,0,https://github.com/francoiducat/springboot-minimal-graphql-client
320,oldfr_eureka_service_registry,2,2,96,96,13,13,42,42,39,39,2,2,maven,False,open source,299,ad92461ac623c63c90fa93702fdf4f984429c7ce,no improvement,11.0,0,0,0,0,0,https://github.com/oldfr/eureka_service_registry
336,Cdiscount_solr-autocomplete,2,2,129,36,14,1,56,19,47,15,12,1,maven,False,open source,415,78f05dcb21c8db71d77dad9b3ee5f4092005e623,improvement,11.0,1,0,1,0,0,https://github.com/Cdiscount/solr-autocomplete
343,Jivkomg_dto-validation-demo,5,0,110,0,18,0,46,0,44,0,2,0,maven,False,open source,123,c8b42a051b01029a9e587c5f7394eb063e6d54c4,improvement,11.0,4,1,0,0,0,https://github.com/Jivkomg/dto-validation-demo
341,smartup-tech_Time-Tracker,10,8,210,82,25,21,93,35,80,22,12,4,maven,False,open source,624,212b7a8118f70ac044210996e1a7fe27a8396735,improvement,11.0,7,0,0,0,0,https://github.com/smartup-tech/Time-Tracker
344,momir96_Web-Shop-Moxilla,13,7,399,63,34,6,176,23,153,22,36,12,maven,False,open source,692,1f2b81b3ac34c50a7126655fb5e5e4ba772e45e1,improvement,11.0,9,1,1,1,0,https://github.com/momir96/Web-Shop-Moxilla
22,CanalStephanieSantos_Api-de-Aposta,5,4,146,122,17,14,54,44,64,54,11,10,maven,False,open source,1129,da4714d498967836200b9e8485a52a2ebfeac262,improvement,11.0,1,0,0,0,0,https://github.com/CanalStephanieSantos/Api-de-Aposta
32,FIAP_POSTECH_SOAT_DevOps_Desafio_Disciplina,3,3,116,116,11,11,51,51,47,47,7,7,maven,False,open source,980,7091194aa2de3ba8fe1a9b5ab1af4062733cf399,no improvement,11.0,0,0,0,0,0,https://github.com/FIAP/POSTECH_SOAT_DevOps_Desafio_Disciplina
36,HackyleShawe_RemoteLogViewer,7,5,263,210,26,21,117,92,103,83,17,14,maven,False,open source,1514,981712d935593a154d9d57cabc82dbb858cee9d0,improvement,11.0,2,0,1,0,0,https://github.com/HackyleShawe/RemoteLogViewer
34,Floppir_auth,8,8,242,235,19,19,78,75,115,111,30,30,maven,False,open source,2312,4856c8dd47ed9debd12a92041a49de078a763f71,improvement,11.0,0,0,1,0,0,https://github.com/Floppir/auth
58,Mozenn_spring-boot-rest-api-with-pagination-and-sorting,4,3,132,101,14,10,53,39,55,43,10,9,maven,False,open source,57553,7d6dd72620ec0b5cc027eeaa95a403dfb8e22ca2,improvement,11.0,1,0,0,0,0,https://github.com/Mozenn/spring-boot-rest-api-with-pagination-and-sorting
71,RTBHOUSE_kafka-workers,10,6,108,37,6,0,39,16,49,18,14,3,maven,False,open source,355,d65e3425fdfad975e41b2ea2afb88a91aa7aaa33,improvement,11.0,4,3,0,0,0,https://github.com/RTBHOUSE/kafka-workers
122,arothuis_antlr4-calculator,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,86,d7b6405b8736627ef7395479e8f96b1f63b14613,no improvement,11.0,0,0,0,0,0,https://github.com/arothuis/antlr4-calculator
136,bhlangonijr_chesslib,1,0,1,0,0,0,1,0,0,0,0,0,maven,False,open source,92,a2e6d6acfbc40018b666406a9b5fd0770e5e2af2,improvement,11.0,0,1,0,0,0,https://github.com/bhlangonijr/chesslib
121,arjungautam1_AWS_Image_Upload,4,2,212,159,11,10,57,46,115,84,29,19,maven,False,open source,1257,cdc82375471494f89c2c5c2fedb945b1782f6ed4,improvement,11.0,0,0,1,0,0,https://github.com/arjungautam1/AWS_Image_Upload
160,digitalinnovationone_lab-padroes-projeto-spring,6,6,225,207,18,18,99,92,92,84,16,13,maven,False,open source,1270,230350d0eb6ef22b9014f01e02e683e607804468,improvement,11.0,0,1,0,0,0,https://github.com/digitalinnovationone/lab-padroes-projeto-spring
168,dustinschultz_todo-app,5,4,191,156,16,12,80,63,82,69,13,12,maven,False,open source,1112,8612f9376d1202d6d49c4eee4fbb44e2b158b8d7,improvement,11.0,1,0,0,0,0,https://github.com/dustinschultz/todo-app
197,hhimanshu_spring-boot-liquibase,5,1,144,5,15,3,63,2,56,0,10,0,maven,False,open source,123,7edcf62c7b0fdf29c48e4927136dab98cf51f90a,improvement,11.0,5,0,0,0,0,https://github.com/hhimanshu/spring-boot-liquibase
205,imduchy_cloud-workshop,5,1,145,5,15,3,61,2,58,0,11,0,maven,False,open source,184,79edc5e481a4197443e83a2c0ca284e6f5fc121e,improvement,11.0,4,1,0,0,0,https://github.com/imduchy/cloud-workshop
220,jonashackt_spring-boot-buildpack,2,1,61,1,8,0,27,0,25,1,1,0,maven,False,open source,108,b6ae8f276d9fc6695b53299ebf44898c85fb4765,improvement,11.0,2,0,0,0,0,https://github.com/jonashackt/spring-boot-buildpack
252,maciejwalkowiak_paseq-maven-plugin,7,1,22,1,2,0,11,0,7,1,2,0,maven,False,open source,175,9cd0293f3a82b88fc025d6fa18715063d3776422,improvement,11.0,0,7,0,0,0,https://github.com/maciejwalkowiak/paseq-maven-plugin
241,liuhongdi_ratelimiter,8,7,261,250,18,18,91,86,121,116,31,30,maven,False,open source,4149,7efa3c85e233cc70600fd82953423734f0f4788b,improvement,11.0,0,2,0,0,0,https://github.com/liuhongdi/ratelimiter
278,nipafx_effective-java,2,0,3,0,1,0,1,0,1,0,0,0,maven,False,open source,133,3eed46bf28bce3c25c9b20b731dd932344275dd2,improvement,11.0,0,1,0,0,0,https://github.com/nipafx/effective-java
283,olein_Java-AWS-RnD,3,3,111,58,15,17,45,18,47,21,4,2,maven,False,open source,546,7140b9328317bb5e22ec5fcfed32d6cb6932674a,improvement,11.0,3,0,0,0,0,https://github.com/olein/Java-AWS-RnD
307,raffoulRicardo_movimento-qa-2023,5,1,127,5,15,3,47,2,59,0,6,0,maven,False,open source,150,70508b62689e7ddf2fe8534ab34fc20c1b520d8b,improvement,11.0,5,0,0,0,0,https://github.com/raffoulRicardo/movimento-qa-2023
315,rieckpil_hands-on-mocking-with-mockito,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,68,1f069c734a9234b70f680245421513250456eb0c,no improvement,11.0,0,0,0,0,0,https://github.com/rieckpil/hands-on-mocking-with-mockito
324,sashinpivotal_spring-boot-tdd,5,1,172,5,16,3,76,2,69,0,11,0,maven,False,open source,205,d232502be4ad6537e876298917865e1611abc57b,improvement,11.0,5,0,0,0,0,https://github.com/sashinpivotal/spring-boot-tdd
329,shabbirdwd53_springboot-mongodb,5,5,130,102,16,16,58,39,51,43,5,4,maven,False,open source,704,0ef54271f57f85cbdd62cd99a1e741f83d4fab1d,improvement,11.0,3,0,0,0,0,https://github.com/shabbirdwd53/springboot-mongodb
336,smadil997_spring-netty-socketio-seed,5,2,196,6,16,3,65,2,89,1,26,0,maven,False,open source,141,9d4eb38820af5820ec78e5b4097c4d46b7084dd3,improvement,11.0,5,0,0,0,0,https://github.com/smadil997/spring-netty-socketio-seed
349,tuomount_Open-Realms-of-Stars,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,187,339859bbfbcbeb75eb5c9b5dbbc3820c94fc9890,no improvement,11.0,0,0,0,0,0,https://github.com/tuomount/Open-Realms-of-Stars
