project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details
puzpuzpuz_java-concurrency-samples,kex,51.92,12.5,39,109,107,218,11,81,success,maven_returncode=0; tests_selected=140
raffoulRicardo_movimento-qa-2023,kex,59.1,26.19,39,84,12,43,6,42,success,maven_returncode=0; tests_selected=81
rahul26021999_QrCode-JavaSpringBoot,kex,37.91,0,3,9,25,34,3,9,success,maven_returncode=0; tests_selected=8
raviyasas_sample-room,kex,40.72,26.09,38,64,39,62,20,41,success,maven_returncode=0; tests_selected=44
rmondejar_spring-boot-junit5-example,kex,62.13,25.81,67,197,53,124,17,135,success,maven_returncode=0; tests_selected=232
RTBHOUSE_kafka-workers,kex,0.0,0.0,858,858,2008,2008,509,509,success,maven_returncode=0; tests_selected=435
s1ck_gdl,kex,9.65,9.39,694,790,1550,1724,436,517,success,maven_returncode=0; tests_selected=176
sashinpivotal_spring-boot-tdd,kex,46.59,31.25,18,37,25,61,6,21,success,maven_returncode=0; tests_selected=32
sayan-d99_Spring-Security-JWT-Authentication,kex,42.53,0.0,15,41,50,89,8,34,success,maven_returncode=0; tests_selected=41
schauder_talk-beyond,kex,58.31,0.0,13,41,36,96,12,40,success,maven_returncode=0; tests_selected=49
SelimHorri_embedded-mongo-playing-with-spring-boot,kex,47.0,26.47,43,91,47,64,16,57,success,maven_returncode=0; tests_selected=84
SelimHorri_hr-management-system,kex,48.4,0.0,73,172,155,372,65,164,success,maven_returncode=0; tests_selected=163
simplyi_NewSpringAuthorizationServer,kex,84.57,0.0,3,18,7,54,2,17,success,maven_returncode=0; tests_selected=6
souris-dev_samosac-jvm,kex,7.98,4.19,2111,2266,4765,5055,1196,1330,success,maven_returncode=0; tests_selected=365
strategyengine_fsedistributionservice,kex,40.31,19.7,1724,3104,2389,2918,375,1475,success,maven_returncode=0; tests_selected=2312
supaldubey_blog-server,kex,60.0,27.01,234,608,539,1489,176,538,success,maven_returncode=0; tests_selected=799
syqu22_spring-boot-shop-sample,kex,0.0,0.0,212,212,351,351,137,137,success,maven_returncode=0; tests_selected=143
szerhusenBC_jwt-spring-security-demo,kex,0.0,0.0,105,105,254,254,87,87,success,maven_returncode=0; tests_selected=101
tuomount_Open-Realms-of-Stars,kex,,,,,,,,,exception,[Errno 7] Argument list too long: '/bin/sh'
Victor-Borisov_java-filmorate,kex,39.02,22.95,208,389,248,332,106,267,success,maven_returncode=0; tests_selected=441
wdrammeh_utg-student-dashboard,kex,,,,,,,,,no_jacoco_csv,"maven_returncode=1; tests_selected=1631 | 13:38:31Z [INFO] ------------------------------------------------------------------------ [ERROR] Failed to execute goal org.apache.maven.plugins:maven-surefire-plugin:2.12.4:test (default-test) on project utg-student-dashboard: Execution default-test of goal org.apache.maven.plugins:maven-surefire-plugin:2.12.4:test failed: The forked VM terminated without saying properly goodbye. VM crash or System.exit called ? -> [Help 1] [ERROR]  [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR]  [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/PluginExecutionException "
WoMakersCode_bootcamp-java-starwars-restapi,kex,28.68,0.0,18,37,60,101,15,34,success,maven_returncode=0; tests_selected=42
Xpectuer_miniJuliaSonar,kex,,,,,,,,,no_jacoco_csv,"maven_returncode=1; tests_selected=981 | -04-09T13:38:57Z [INFO] ------------------------------------------------------------------------ [ERROR] Failed to execute goal org.apache.maven.plugins:maven-surefire-plugin:2.12.4:test (default-test) on project miniJuliaSonar: Execution default-test of goal org.apache.maven.plugins:maven-surefire-plugin:2.12.4:test failed: The forked VM terminated without saying properly goodbye. VM crash or System.exit called ? -> [Help 1] [ERROR]  [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR]  [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/PluginExecutionException "
