project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
jonashackt_spring-boot-buildpack,native+kex+evosuite,90.476,0,1,8,1,13,1,8,success,maven_returncode=0,41,0.041
jsalonl_interceptor-springboot,native+kex+evosuite,87.976,75.0,13,102,27,112,11,98,success,maven_returncode=0,314,0.314
juliengalet_reactor-flow,native+kex+evosuite,99.504,96.875,12,386,7,800,7,305,build_with_test_issues,maven_returncode=1,1956,1.956
kanajin_Aqua-docker,native+kex+evosuite,58.372,18.874,7287,17257,5782,12974,1059,9985,success,maven_returncode=0,27852,27.852
Katibat_java-filmorate,native+kex+evosuite,74.842,43.254,121,330,83,425,29,204,success,maven_returncode=0,1082,1.082
kiberohrannik_webflux-log,native+kex+evosuite,65.478,77.027,49,192,126,397,40,155,success,maven_returncode=0,1027,1.027
kousen_questjpa,native+kex+evosuite,96.05,98.333,8,145,9,216,7,115,success,maven_returncode=0,615,0.615
koushikkothagal_ipl-dashboard,native+kex+evosuite,41.233,0.0,27,108,91,214,22,103,success,maven_returncode=0,527,0.527
koushikkothagal_spring-boot-security,native+kex+evosuite,0.0,0,10,10,24,24,10,10,success,maven_returncode=0,61,0.061
kriscfoster_spring-boot-testing-pyramid,native+kex+evosuite,100.0,0,0,6,0,9,0,6,success,maven_returncode=0,33,0.033
kyungseo_project-web-starter,native+kex+evosuite,49.881,51.044,1146,2759,2811,5602,659,1835,success,maven_returncode=0,12472,12.472
liuhongdi_ratelimiter,native+kex+evosuite,10.297,0.0,45,54,118,134,41,50,success,maven_returncode=0,315,0.315
lyubenblagoev_postfix-rest-server,native+kex+evosuite,38.179,8.235,253,531,543,1106,172,446,success,maven_returncode=0,2770,2.77
maciejwalkowiak_paseq-maven-plugin,native+kex+evosuite,97.174,92.0,4,62,4,120,0,37,success,maven_returncode=0,246,0.246
mariamihai_spring-security-amigoscode-tutorial,native+kex+evosuite,57.828,0.0,19,73,82,191,17,71,success,maven_returncode=0,515,0.515
markbdsouza_hateoas-with-pagination,native+kex+evosuite,24.155,0.0,22,36,36,56,20,34,success,maven_returncode=0,207,0.207
martinachov_hexagonal-architecture-ddd-springboot,native+kex+evosuite,69.978,0.0,13,79,24,65,12,78,success,maven_returncode=0,237,0.237
max-jang_korea-music-chart-api,native+kex+evosuite,5.964,0.0,191,203,283,312,103,115,success,maven_returncode=0,594,0.594
meteergin_medium-java-streams,native+kex+evosuite,99.505,95.238,2,58,0,102,0,37,success,maven_returncode=0,144,0.144
micw_tibber-pulse-reader,native+kex+evosuite,85.63,71.745,84,372,199,866,22,190,success,maven_returncode=0,1727,1.727
MikeAScott_spring-todo-list,native+kex+evosuite,4.013,0.0,31,35,72,76,30,34,success,maven_returncode=0,193,0.193
milpol_gorilla4j,native+kex+evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1,501,0.501
mmarcosab_rabbitmq-example,native+kex+evosuite,45.455,0.0,5,17,16,32,3,15,success,maven_returncode=0,113,0.113
mohaghighi_Covid19-Web-Application,native+kex+evosuite,,,,,,,,,exception,Destino já existe: /home/suelenfelix/TCC/teste/evosuite/projects/mohaghighi_Covid19-Web-Application/src/test/java/kex-tests,610,0.61
Mozenn_spring-boot-hibernate-search,native+kex+evosuite,48.886,31.579,39,91,36,87,11,53,success,maven_returncode=0,260,0.26
MrGraversen_minecraft-rcon,native+kex+evosuite,88.281,78.899,31,433,117,1035,15,378,success,maven_returncode=0,2483,2.483
MSmirnov2407_Filmorate,native+kex+evosuite,41.427,18.182,106,194,304,558,63,150,success,maven_returncode=0,1256,1.256
NO-ob_LoliSnatcher,native+kex+evosuite,24.043,26.786,198,310,768,1087,56,130,success,maven_returncode=0,1770,1.77
olein_Java-AWS-RnD,native+kex+evosuite,61.47,0.0,13,47,50,125,11,45,success,maven_returncode=0,276,0.276
OmarAlHaj24_OnDriver,native+kex+evosuite,82.943,63.866,62,261,94,572,2,142,success,maven_returncode=0,1155,1.155
Online-Job-Portal-CG_Backend,native+kex+evosuite,48.809,21.429,164,582,448,1237,109,512,success,maven_returncode=0,3678,3.678
ozifirebrand_printHia,native+kex+evosuite,71.343,37.885,178,487,5,290,4,227,success,maven_returncode=0,724,0.724
paneladev_agenda-service,native+kex+evosuite,78.278,62.5,40,260,69,257,18,208,success,maven_returncode=0,800,0.8
ProgrammerZamanNow_belajar-jenkins-pipeline,native+kex+evosuite,89.503,89.516,31,246,35,224,21,184,success,maven_returncode=0,822,0.822
ProgrammerZamanNow_belajar-spring-dasar,native+kex+evosuite,88.635,88.71,30,246,37,224,20,184,success,maven_returncode=0,822,0.822
raffoulRicardo_movimento-qa-2023,native+kex+evosuite,78.799,60.714,21,84,6,43,3,42,success,maven_returncode=0,110,0.11
rahul26021999_QrCode-JavaSpringBoot,native+kex+evosuite,62.745,0,1,9,18,34,1,9,success,maven_returncode=0,79,0.079
RaisaRS_java-filmorate,native+kex+evosuite,29.655,14.583,66,165,237,406,45,141,success,maven_returncode=0,1144,1.144
raviyasas_sample-room,native+kex+evosuite,56.561,26.087,31,64,21,62,13,41,success,maven_returncode=0,186,0.186
reactive-learning-io_spring-boot-reactive-webclient,native+kex+evosuite,46.53,83.333,42,105,94,143,35,72,success,maven_returncode=0,342,0.342
rmondejar_spring-boot-junit5-example,native+kex+evosuite,70.359,33.871,62,197,39,124,14,135,success,maven_returncode=0,402,0.402
saiGou-14H_FaceSystem,native+kex+evosuite,0.0,0.0,1216,1216,1701,1701,647,647,success,maven_returncode=0,3815,3.815
sashinpivotal_spring-boot-tdd,native+kex+evosuite,95.984,96.875,2,37,2,61,1,21,success,maven_returncode=0,154,0.154
schauder_talk-beyond,native+kex+evosuite,78.248,0.0,11,41,27,96,10,40,success,maven_returncode=0,342,0.342
SelimHorri_elastic-boot,native+kex+evosuite,59.736,28.571,17,46,9,27,6,32,success,maven_returncode=0,131,0.131
SelimHorri_embedded-mongo-playing-with-spring-boot,native+kex+evosuite,50.512,26.471,39,91,43,64,12,57,success,maven_returncode=0,201,0.201
SelimHorri_hr-management-system,native+kex+evosuite,51.374,0.0,65,172,145,372,57,164,success,maven_returncode=0,1168,1.168
simplyi_NewSpringAuthorizationServer,native+kex+evosuite,84.571,0.0,3,18,7,54,2,17,success,maven_returncode=0,141,0.141
smartup-tech_Time-Tracker,native+kex+evosuite,54.951,32.409,1464,3403,1517,2997,366,1925,success,maven_returncode=0,7609,7.609
sofieneBK_Hands-on-ci-cd-for-springboot-apps,native+kex+evosuite,100.0,100.0,0,9,0,26,0,7,success,maven_returncode=0,55,0.055
souris-dev_samosac-jvm,native+kex+evosuite,33.067,19.4,1347,2266,3408,5055,544,1330,success,maven_returncode=0,2798,2.798
strategyengine_fsedistributionservice,native+kex+evosuite,42.459,21.696,1639,3104,2247,2918,320,1475,success,maven_returncode=0,6326,6.326
supaldubey_blog-server,native+kex+evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1,3512,3.512
