project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
rahul26021999_QrCode-JavaSpringBoot,native,32.68,0,5,9,28,34,5,9,success,maven_returncode=0,79,0.079
RaisaRS_java-filmorate,native,45.47,18.75,98,165,212,406,74,141,success,maven_returncode=0,1144,1.144
raviyasas_sample-room,native,5.43,0.0,59,64,52,62,36,41,success,maven_returncode=0,186,0.186
reactive-learning-io_spring-boot-reactive-webclient,native,16.27,0.0,85,105,102,143,52,72,success,maven_returncode=0,342,0.342
rmondejar_spring-boot-junit5-example,native,43.41,9.68,106,197,55,124,44,135,success,maven_returncode=0,402,0.402
saiGou-14H_FaceSystem,native,0.0,0.0,1216,1216,1701,1701,647,647,success,maven_returncode=0,3815,3.815
sashinpivotal_spring-boot-tdd,native,71.49,40.62,17,37,8,61,3,21,success,maven_returncode=0,154,0.154
schauder_talk-beyond,native,90.94,50.0,7,41,12,96,6,40,success,maven_returncode=0,342,0.342
SelimHorri_elastic-boot,native,4.95,0.0,43,46,24,27,29,32,success,maven_returncode=0,131,0.131
SelimHorri_embedded-mongo-playing-with-spring-boot,native,3.07,0.0,88,91,61,64,54,57,success,maven_returncode=0,201,0.201
SelimHorri_hr-management-system,native,22.75,0.0,140,172,278,372,132,164,success,maven_returncode=0,1168,1.168
simplyi_NewSpringAuthorizationServer,native,81.71,0.0,4,18,9,54,3,17,success,maven_returncode=0,141,0.141
smartup-tech_Time-Tracker,native,26.85,11.2,2633,3403,1673,2997,1269,1925,success,maven_returncode=0,7609,7.609
sofieneBK_Hands-on-ci-cd-for-springboot-apps,native,100.0,100.0,0,9,0,26,0,7,success,maven_returncode=0,55,0.055
souris-dev_samosac-jvm,native,,,,,,,,,no_jacoco_csv,maven_returncode=0,2798,2.798
strategyengine_fsedistributionservice,native,19.57,11.83,2666,3104,2367,2918,1083,1475,success,maven_returncode=0,6326,6.326
supaldubey_blog-server,native,28.67,16.79,531,608,1103,1489,466,538,success,maven_returncode=0,3512,3.512
syqu22_spring-boot-shop-sample,native,0.0,0.0,212,212,351,351,137,137,success,maven_returncode=0,935,0.935
SysObligatoriskOpgave22_BackendWebApp,native,81.16,56.0,61,113,21,135,39,88,success,maven_returncode=0,387,0.387
szerhusenBC_jwt-spring-security-demo,native,0.0,0.0,105,105,254,254,87,87,success,maven_returncode=0,685,0.685
ValentinaBuddha_java-filmorate,native,3.24,6.25,115,126,237,248,100,110,success,maven_returncode=0,849,0.849
Victor-Borisov_java-filmorate,native,44.9,6.15,245,389,122,332,126,267,success,maven_returncode=0,1008,1.008
wdrammeh_utg-student-dashboard,native,0.0,0.0,2621,2621,8969,8969,1482,1482,success,maven_returncode=0,13380,13.38
WoMakersCode_bootcamp-java-starwars-restapi,native,27.37,0.0,23,37,67,101,20,34,success,maven_returncode=0,225,0.225
xxuzhengg_eastmoney,native,14.65,0.0,72,83,208,244,56,67,success,maven_returncode=0,545,0.545
yoandypv_todo-api,native,10.83,0.0,108,118,52,74,51,61,success,maven_returncode=0,225,0.225
Youngerjesus_refactoring-2nd-edition,native,12.35,4.21,643,692,1031,1161,499,543,success,maven_returncode=0,2628,2.628
