project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
koushikkothagal_spring-boot-security,kex+evosuite,0.0,0,10,10,24,24,10,10,success,maven_returncode=0,61,0.061
kriscfoster_spring-boot-testing-pyramid,kex+evosuite,100.0,0,0,6,0,9,0,6,success,maven_returncode=0,33,0.033
kyungseo_project-web-starter,kex+evosuite,49.881,51.044,1146,2759,2811,5602,659,1835,success,maven_returncode=0,12472,12.472
liuhongdi_ratelimiter,kex+evosuite,0.0,0.0,54,54,134,134,50,50,success,maven_returncode=0,315,0.315
lyubenblagoev_postfix-rest-server,kex+evosuite,38.179,8.235,253,531,543,1106,172,446,success,maven_returncode=0,2770,2.77
maciejwalkowiak_paseq-maven-plugin,kex+evosuite,80.435,80.0,7,62,28,120,0,37,success,maven_returncode=0,246,0.246
mariamihai_spring-security-amigoscode-tutorial,kex+evosuite,57.828,0.0,19,73,82,191,17,71,success,maven_returncode=0,515,0.515
markbdsouza_hateoas-with-pagination,kex+evosuite,24.155,0.0,22,36,36,56,20,34,success,maven_returncode=0,207,0.207
martinachov_hexagonal-architecture-ddd-springboot,kex+evosuite,69.978,0.0,13,79,24,65,12,78,success,maven_returncode=0,237,0.237
max-jang_korea-music-chart-api,kex+evosuite,0.0,0.0,203,203,312,312,115,115,success,maven_returncode=0,594,0.594
meteergin_medium-java-streams,kex+evosuite,99.505,95.238,2,58,0,102,0,37,success,maven_returncode=0,144,0.144
micw_tibber-pulse-reader,kex+evosuite,74.574,52.909,120,372,335,866,24,190,success,maven_returncode=0,1727,1.727
MikeAScott_spring-todo-list,kex+evosuite,0.0,0.0,35,35,76,76,34,34,success,maven_returncode=0,193,0.193
milpol_gorilla4j,kex+evosuite,96.409,95.0,5,94,8,251,0,44,success,maven_returncode=0,501,0.501
mmarcosab_rabbitmq-example,kex+evosuite,45.455,0.0,5,17,16,32,3,15,success,maven_returncode=0,113,0.113
mohaghighi_Covid19-Web-Application,kex+evosuite,68.59,67.5,34,117,64,265,27,97,success,maven_returncode=0,610,0.61
Mozenn_spring-boot-hibernate-search,kex+evosuite,48.886,31.579,39,91,36,87,11,53,success,maven_returncode=0,260,0.26
MrGraversen_minecraft-rcon,kex+evosuite,88.281,78.899,31,433,117,1035,15,378,success,maven_returncode=0,2483,2.483
MSmirnov2407_Filmorate,kex+evosuite,19.179,10.227,127,194,417,558,83,150,success,maven_returncode=0,1256,1.256
NO-ob_LoliSnatcher,kex+evosuite,24.043,26.786,198,310,768,1087,56,130,success,maven_returncode=0,1770,1.77
olein_Java-AWS-RnD,kex+evosuite,61.47,0.0,13,47,50,125,11,45,success,maven_returncode=0,276,0.276
OmarAlHaj24_OnDriver,kex+evosuite,82.943,63.866,62,261,94,572,2,142,success,maven_returncode=0,1155,1.155
Online-Job-Portal-CG_Backend,kex+evosuite,48.809,21.429,164,582,448,1237,109,512,success,maven_returncode=0,3678,3.678
ozifirebrand_printHia,kex+evosuite,57.998,30.577,218,487,105,290,28,227,success,maven_returncode=0,724,0.724
paneladev_agenda-service,kex+evosuite,71.095,58.654,47,260,96,257,23,208,success,maven_returncode=0,800,0.8
ProgrammerZamanNow_belajar-jenkins-pipeline,kex+evosuite,88.082,89.516,33,246,41,224,23,184,success,maven_returncode=0,822,0.822
ProgrammerZamanNow_belajar-spring-dasar,kex+evosuite,87.214,88.71,32,246,43,224,22,184,success,maven_returncode=0,822,0.822
raffoulRicardo_movimento-qa-2023,kex+evosuite,78.799,60.714,21,84,6,43,3,42,success,maven_returncode=0,110,0.11
rahul26021999_QrCode-JavaSpringBoot,kex+evosuite,62.745,0,1,9,18,34,1,9,success,maven_returncode=0,79,0.079
RaisaRS_java-filmorate,kex+evosuite,29.655,14.583,66,165,237,406,45,141,success,maven_returncode=0,1144,1.144
